Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	29	0.0162367046	0.00525420424	298.153267	298.153267	298.153267	298.153267	0	0	0	0	0	0	3
2	31	0.0324781022	0.0105084085	298.156582	298.154925	298.153267	298.156582	0.0016581476	0	0	0	0	0	3
3	33	0.0487542881	0.0157626127	298.159941	298.156599	298.153267	298.159941	0.00333288563	0	0	0	0	0	3
4	36	0.0652875332	0.021016817	298.163374	298.158315	298.153267	298.163374	0.00504857292	0	0	0	0	0	3
5	38	0.0837201606	0.0262710212	298.167217	298.160275	298.153267	298.167217	0.00700861099	0	0	0	0	0	3
6	40	0.132420249	0.0315252254	298.177309	298.16654	298.153267	298.177309	0.0132733256	0	0	0	0	0	3
7	42	0.336429492	0.0367794297	298.217631	298.197521	298.153267	298.217631	0.0442548254	0	0	0	0	0	3
8	46	1.67553863	0.0420336339	298.423546	298.378163	298.153267	298.423546	0.224896229	0	0	0	0	0	3
9	50	10.7473596	0.0472878381	298.968677	298.876614	298.153267	298.968677	0.723347572	0	0	0	0	0	3
10	55	44.8039731	0.0525420424	299.463107	299.322422	298.153267	299.463107	1.16915516	0	0	0	0	0	3
11	58	45.6867102	0.0577962466	299.497251	299.3258	298.153267	299.497251	1.17253312	0	0	0	0	0	3
12	61	46.3795552	0.0630504509	299.523069	299.328747	298.153267	299.523069	1.17548005	0	0	0	0	0	3
13	64	46.8586132	0.0683046551	299.540245	299.330909	298.153267	299.540245	1.1776423	0	0	0	0	0	3
14	66	47.2647115	0.0735588593	299.55397	299.332825	298.153267	299.55397	1.17955883	0	0	0	0	0	3
15	69	47.6243691	0.0788130636	299.56628	299.334588	298.153267	299.56628	1.18132188	0	0	0	0	0	3
16	72	48.1363147	0.0840672678	299.582583	299.337226	298.153267	299.582583	1.18395938	0	0	0	0	0	3
17	74	48.6168349	0.0893214721	299.597202	299.339795	298.153267	299.597202	1.18652894	0	0	0	0	0	3
18	77	49.0827006	0.0945756763	299.6108	299.342368	298.153267	299.6108	1.18910116	0	0	0	0	0	3
