Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	29	0.0162367046	0.00525420424	-1.93220555	-1.93220555	-1.93220555	-1.93220555	0	0	0	0	0	0	3
2	31	0.0324781022	0.0105084085	-1.9649373	-1.94857379	-1.9649373	-1.93220555	0.016368241	0	0	0	0	0	3
3	33	0.0487542881	0.0157626127	-1.99123927	-1.96281728	-1.99123927	-1.93220555	0.0306117331	0	0	0	0	0	3
4	36	0.0652875332	0.021016817	-2.01063497	-1.97492651	-2.01063497	-1.93220555	0.0427209596	0	0	0	0	0	3
5	38	0.0837201606	0.0262710212	-2.02722723	-1.98644153	-2.02722723	-1.93220555	0.0542359832	0	0	0	0	0	3
6	40	0.132420249	0.0315252254	-2.04131382	-2.00662187	-2.04131382	-1.93220555	0.074416321	0	0	0	0	0	3
7	42	0.336429492	0.0367794297	-2.05069702	-2.03334883	-2.05069702	-1.93220555	0.101143281	0	0	0	0	0	3
8	46	1.67553863	0.0420336339	-2.0594007	-2.05416978	-2.0594007	-1.93220555	0.12196423	0	0	0	0	0	3
9	50	10.7473596	0.0472878381	-2.05610221	-2.05580094	-2.0594007	-1.93220555	0.123595394	0	0	0	0	0	3
10	55	44.8039731	0.0525420424	-2.04901468	-2.05064254	-2.0594007	-1.93220555	0.123595394	0	0	0	0	0	3
11	58	45.6867102	0.0577962466	-2.04942963	-2.0506191	-2.0594007	-1.93220555	0.123595394	0	0	0	0	0	3
12	61	46.3795552	0.0630504509	-2.06968905	-2.05090398	-2.06968905	-1.93220555	0.123595394	0	0	0	0	0	3
13	64	46.8586132	0.0683046551	-2.0769868	-2.05117064	-2.0769868	-1.93220555	0.123595394	0	0	0	0	0	3
14	66	47.2647115	0.0735588593	-2.08316598	-2.05144554	-2.08316598	-1.93220555	0.123595394	0	0	0	0	0	3
15	69	47.6243691	0.0788130636	-2.08855555	-2.05172579	-2.08855555	-1.93220555	0.123595394	0	0	0	0	0	3
16	72	48.1363147	0.0840672678	-2.0934165	-2.05216919	-2.0934165	-1.93220555	0.123595394	0	0	0	0	0	3
17	74	48.6168349	0.0893214721	-2.09747122	-2.05261695	-2.09747122	-1.93220555	0.123595394	0	0	0	0	0	3
18	77	49.0827006	0.0945756763	-2.10141158	-2.05308008	-2.10141158	-1.93220555	0.123595394	0	0	0	0	0	3
19	79	49.5540243	0.0998298805	-2.10496246	-2.05357355	-2.10496246	-1.93220555	0.123595394	0	0	0	0	0	3
20	82	50.047109	0.105084085	-2.10809454	-2.05411071	-2.10809454	-1.93220555	0.123595394	0	0	0	0	0	3
21	85	50.8057684	0.110338289	-2.11089774	-2.05495868	-2.11089774	-1.93220555	0.123595394	0	0	0	0	0	3
22	87	51.5990821	0.115592493	-2.11311766	-2.05585285	-2.11311766	-1.93220555	0.123647305	0	0	0	0	0	3
23	90	52.4251184	0.120846697	-2.11539448	-2.05679102	-2.11539448	-1.93220555	0.124585473	0	0	0	0	0	3
24	93	53.2727271	0.126100902	-2.11749037	-2.05775679	-2.11749037	-1.93220555	0.125551244	0	0	0	0	0	3
25	95	54.130989	0.131355106	-2.11940638	-2.05873426	-2.11940638	-1.93220555	0.126528716	0	0	0	0	0	3
26	98	55.4182895	0.13660931	-2.1211597	-2.06018433	-2.1211597	-1.93220555	0.127978784	0	0	0	0	0	3
27	101	56.6950026	0.141863514	-2.12235972	-2.06158446	-2.12235972	-1.93220555	0.12937891	0	0	0	0	0	3
28	104	57.9460995	0.147117719	-2.12377632	-2.06292722	-2.12377632	-1.93220555	0.130721676	0	0	0	0	0	3
29	107	59.1662014	0.152371923	-2.12509189	-2.06420916	-2.12509189	-1.93220555	0.132003611	0	0	0	0	0	3
30	110	60.355004	0.157626127	-2.32198333	-2.06928649	-2.32198333	-1.93220555	0.137080946	0	0	0	0	0	3
31	113	61.8847727	0.162880331	-2.82953979	-2.08807967	-2.82953979	-1.93220555	0.155874126	0	0	0	0	0	3
32	116	63.379911	0.168134536	-3.00359692	-2.10967682	-3.00359692	-1.93220555	0.177471268	0	0	0	0	0	3
33	119	64.8470579	0.17338874	-3.22598386	-2.13493296	-3.22598386	-1.93220555	0.202727407	0	0	0	0	0	3
34	122	66.2896594	0.178642944	-3.44296425	-2.16339845	-3.44296425	-1.93220555	0.231192902	0	0	0	0	0	3
