Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	29	0.0162367046	0.00525420424	0.000357967288	0.000357967288	0.000357967288	0.000357967288	0	0	0	0	0	0	3
2	31	0.0324781022	0.0105084085	0.000617526438	0.000487765616	0.000357967288	0.000617526438	0.000129798328	0	0	0	0	0	3
3	33	0.0487542881	0.0157626127	0.000793111061	0.00058970248	0.000357967288	0.000793111061	0.000231735192	0	0	0	0	0	3
4	36	0.0652875332	0.021016817	0.00093936513	0.00067825014	0.000357967288	0.00093936513	0.000320282852	0	0	0	0	0	3
5	38	0.0837201606	0.0262710212	0.00105804005	0.000761868302	0.000357967288	0.00105804005	0.000403901014	0	0	0	0	0	3
6	40	0.132420249	0.0315252254	0.00129328721	0.000957307804	0.000357967288	0.00129328721	0.000599340516	0	0	0	0	0	3
7	42	0.336429492	0.0367794297	0.00183487269	0.00148945898	0.000357967288	0.00183487269	0.00113149169	0	0	0	0	0	3
8	46	1.67553863	0.0420336339	0.00367043202	0.00323251693	0.000357967288	0.00367043202	0.00287454964	0	0	0	0	0	3
9	50	10.7473596	0.0472878381	0.0148999987	0.0130810108	0.000357967288	0.0148999987	0.0127230435	0	0	0	0	0	3
10	55	44.8039731	0.0525420424	0.0684514226	0.0551694369	0.000357967288	0.0684514226	0.0548114697	0	0	0	0	0	3
11	58	45.6867102	0.0577962466	0.0707500392	0.055470478	0.000357967288	0.0707500392	0.0551125107	0	0	0	0	0	3
12	61	46.3795552	0.0630504509	0.0719908263	0.0557172686	0.000357967288	0.0719908263	0.0553593013	0	0	0	0	0	3
13	64	46.8586132	0.0683046551	0.072760679	0.0558915116	0.000357967288	0.072760679	0.0555335443	0	0	0	0	0	3
14	66	47.2647115	0.0735588593	0.0734469542	0.0560423479	0.000357967288	0.0734469542	0.0556843806	0	0	0	0	0	3
15	69	47.6243691	0.0788130636	0.0740268083	0.0561781659	0.000357967288	0.0740268083	0.0558201986	0	0	0	0	0	3
16	72	48.1363147	0.0840672678	0.0749199474	0.056377491	0.000357967288	0.0749199474	0.0560195237	0	0	0	0	0	3
17	74	48.6168349	0.0893214721	0.0757105967	0.056568576	0.000357967288	0.0757105967	0.0562106087	0	0	0	0	0	3
18	77	49.0827006	0.0945756763	0.0765442684	0.0567581741	0.000357967288	0.0765442684	0.0564002068	0	0	0	0	0	3
19	79	49.5540243	0.0998298805	0.0774022439	0.0569545263	0.000357967288	0.0774022439	0.056596559	0	0	0	0	0	3
20	82	50.047109	0.105084085	0.0782810425	0.0571646439	0.000357967288	0.0782810425	0.0568066766	0	0	0	0	0	3
21	85	50.8057684	0.110338289	0.0796151076	0.0574998864	0.000357967288	0.0796151076	0.0571419192	0	0	0	0	0	3
22	87	51.5990821	0.115592493	0.0810231413	0.0578615463	0.000357967288	0.0810231413	0.0575035791	0	0	0	0	0	3
23	90	52.4251184	0.120846697	0.0824967648	0.0582497111	0.000357967288	0.0824967648	0.0578917438	0	0	0	0	0	3
24	93	53.2727271	0.126100902	0.0840132435	0.0586596281	0.000357967288	0.0840132435	0.0583016608	0	0	0	0	0	3
25	95	54.130989	0.131355106	0.0855644076	0.0590862109	0.000357967288	0.0855644076	0.0587282436	0	0	0	0	0	3
26	98	55.4182895	0.13660931	0.0879003001	0.0597555277	0.000357967288	0.0879003001	0.0593975604	0	0	0	0	0	3
27	101	56.6950026	0.141863514	0.0902441521	0.0604421001	0.000357967288	0.0902441521	0.0600841328	0	0	0	0	0	3
28	104	57.9460995	0.147117719	0.0925524779	0.0611353857	0.000357967288	0.0925524779	0.0607774184	0	0	0	0	0	3
29	107	59.1662014	0.152371923	0.0948233643	0.0618300858	0.000357967288	0.0948233643	0.0614721185	0	0	0	0	0	3
30	110	60.355004	0.157626127	0.0973459982	0.0625296369	0.000357967288	0.0973459982	0.0621716696	0	0	0	0	0	3
31	113	61.8847727	0.162880331	0.101262155	0.0634870904	0.000357967288	0.101262155	0.0631291231	0	0	0	0	0	3
32	116	63.379911	0.168134536	0.104995647	0.0644662813	0.000357967288	0.104995647	0.064108314	0	0	0	0	0	3
33	119	64.8470579	0.17338874	0.108927072	0.0654721945	0.000357967288	0.108927072	0.0651142272	0	0	0	0	0	3
34	122	66.2896594	0.178642944	0.113030847	0.0665071701	0.000357967288	0.113030847	0.0661492029	0	0	0	0	0	3
35	124	67.7108526	0.183897148	0.117222165	0.0675716347	0.000357967288	0.117222165	0.0672136674	0	0	0	0	0	3
36	128	69.1116691	0.189151353	0.121499301	0.0686646884	0.000357967288	0.121499301	0.0683067212	0	0	0	0	0	3
37	131	70.4936093	0.194405557	0.125759209	0.069783956	0.000357967288	0.125759209	0.0694259887	0	0	0	0	0	3
38	133	71.8566672	0.199659761	0.130107661	0.0709282438	0.000357967288	0.130107661	0.0705702765	0	0	0	0	0	3
39	136	73.2023027	0.204913965	0.134435299	0.0720956572	0.000357967288	0.134435299	0.0717376899	0	0	0	0	0	3
40	139	74.5301983	0.21016817	0.138793003	0.0732839958	0.000357967288	0.138793003	0.0729260285	0	0	0	0	0	3
41	142	75.8411404	0.215422374	0.143176908	0.0744921206	0.000357967288	0.143176908	0.0741341533	0	0	0	0	0	3
42	145	77.1354356	0.220676578	0.147559788	0.0757181605	0.000357967288	0.147559788	0.0753601932	0	0	0	0	0	3
43	148	78.4134466	0.225930782	0.151961209	0.0769607976	0.000357967288	0.151961209	0.0766028303	0	0	0	0	0	3
44	151	79.6755359	0.231184986	0.15634355	0.0782182491	0.000357967288	0.15634355	0.0778602818	0	0	0	0	0	3
45	154	80.9223344	0.236439191	0.160747411	0.0794898046	0.000357967288	0.160747411	0.0791318373	0	0	0	0	0	3
46	157	82.1541264	0.241693395	0.165111884	0.0807735939	0.000357967288	0.165111884	0.0804156266	0	0	0	0	0	3
47	160	83.3718609	0.246947599	0.169498781	0.0820695194	0.000357967288	0.169498781	0.0817115521	0	0	0	0	0	3
48	162	84.5752894	0.252201803	0.173863514	0.0833756635	0.000357967288	0.173863514	0.0830176962	0	0	0	0	0	3
49	165	85.7659717	0.257456008	0.178190102	0.0846919649	0.000357967288	0.178190102	0.0843339976	0	0	0	0	0	3
