Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	29	0.0162367046	0.00525420424	101324.674	101324.674	101324.674	101324.674	0	0	0	0	0	0	3
2	31	0.0324781022	0.0105084085	101324.674	101324.674	101324.674	101324.674	9.20063758e-05	0	0	0	0	0	3
3	33	0.0487542881	0.0157626127	101324.674	101324.674	101324.674	101324.674	0.000201765593	0	0	0	0	0	3
4	36	0.0652875332	0.021016817	101324.675	101324.674	101324.674	101324.675	0.000329331233	0	0	0	0	0	3
5	38	0.0837201606	0.0262710212	101324.675	101324.674	101324.674	101324.675	0.000490759194	0	0	0	0	0	3
6	40	0.132420249	0.0315252254	101324.676	101324.675	101324.674	101324.676	0.00112136888	0	0	0	0	0	3
7	42	0.336429492	0.0367794297	101324.683	101324.68	101324.674	101324.683	0.00580602176	0	0	0	0	0	3
8	46	1.67553863	0.0420336339	101324.751	101324.736	101324.674	101324.751	0.0624800967	0	0	0	0	0	3
9	50	10.7473596	0.0472878381	101325.241	101325.162	101324.674	101325.241	0.488526542	0	0	0	0	0	3
10	55	44.8039731	0.0525420424	101326.565	101326.228	101324.674	101326.565	1.55436643	0	0	0	0	0	3
11	58	45.6867102	0.0577962466	101326.612	101326.236	101324.674	101326.612	1.56178582	0	0	0	0	0	3
12	61	46.3795552	0.0630504509	101326.65	101326.242	101324.674	101326.65	1.56797951	0	0	0	0	0	3
13	64	46.8586132	0.0683046551	101326.676	101326.246	101324.674	101326.676	1.57242037	0	0	0	0	0	3
14	66	47.2647115	0.0735588593	101326.698	101326.25	101324.674	101326.698	1.5762999	0	0	0	0	0	3
15	69	47.6243691	0.0788130636	101326.717	101326.254	101324.674	101326.717	1.57982258	0	0	0	0	0	3
16	72	48.1363147	0.0840672678	101326.743	101326.259	101324.674	101326.743	1.58502615	0	0	0	0	0	3
17	74	48.6168349	0.0893214721	101326.768	101326.264	101324.674	101326.768	1.59005295	0	0	0	0	0	3
18	77	49.0827006	0.0945756763	101326.791	101326.269	101324.674	101326.791	1.59505693	0	0	0	0	0	3
19	79	49.5540243	0.0998298805	101326.815	101326.274	101324.674	101326.815	1.60024837	0	0	0	0	0	3
20	82	50.047109	0.105084085	101326.839	101326.28	101324.674	101326.839	1.60581694	0	0	0	0	0	3
