Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	29	0.0162367046	0.00525420424	298.15	298.15	298.15	298.15	0	0	0	0	0	0	3
2	31	0.0324781022	0.0105084085	298.150001	298.150001	298.15	298.150001	2.76706089e-07	0	0	0	0	0	3
3	33	0.0487542881	0.0157626127	298.150002	298.150001	298.15	298.150002	6.06824585e-07	0	0	0	0	0	3
4	36	0.0652875332	0.021016817	298.150002	298.150001	298.15	298.150002	9.9062521e-07	0	0	0	0	0	3
5	38	0.0837201606	0.0262710212	298.150004	298.150002	298.15	298.150004	1.47661598e-06	0	0	0	0	0	3
6	40	0.132420249	0.0315252254	298.150007	298.150004	298.15	298.150007	3.37559902e-06	0	0	0	0	0	3
7	42	0.336429492	0.0367794297	298.150028	298.150018	298.15	298.150028	1.78173378e-05	0	0	0	0	0	3
8	46	1.67553863	0.0420336339	298.150296	298.15024	298.15	298.150296	0.000239986227	0	0	0	0	0	3
9	50	10.7473596	0.0472878381	298.157753	298.156582	298.15	298.157753	0.00658175609	0	0	0	0	0	3
10	55	44.8039731	0.0525420424	298.238814	298.219089	298.15	298.238814	0.0690883497	0	0	0	0	0	3
11	58	45.6867102	0.0577962466	298.238687	298.219467	298.15	298.238814	0.0694670126	0	0	0	0	0	3
12	61	46.3795552	0.0630504509	298.236559	298.219723	298.15	298.238814	0.069722338	0	0	0	0	0	3
13	64	46.8586132	0.0683046551	298.233854	298.219867	298.15	298.238814	0.0698668078	0	0	0	0	0	3
14	66	47.2647115	0.0735588593	298.230632	298.21996	298.15	298.238814	0.0699593036	0	0	0	0	0	3
15	69	47.6243691	0.0788130636	298.227174	298.220014	298.15	298.238814	0.0700137826	0	0	0	0	0	3
16	72	48.1363147	0.0840672678	298.221698	298.220032	298.15	298.238814	0.0700316867	0	0	0	0	0	3
17	74	48.6168349	0.0893214721	298.216669	298.219999	298.15	298.238814	0.0700316867	0	0	0	0	0	3
18	77	49.0827006	0.0945756763	298.212304	298.219926	298.15	298.238814	0.0700316867	0	0	0	0	0	3
19	79	49.5540243	0.0998298805	298.20858	298.219818	298.15	298.238814	0.0700316867	0	0	0	0	0	3
20	82	50.047109	0.105084085	298.205419	298.219676	298.15	298.238814	0.0700316867	0	0	0	0	0	3
21	85	50.8057684	0.110338289	298.201908	298.219411	298.15	298.238814	0.0700316867	0	0	0	0	0	3
22	87	51.5990821	0.115592493	298.19937	298.219102	298.15	298.238814	0.0700316867	0	0	0	0	0	3
23	90	52.4251184	0.120846697	298.197631	298.218764	298.15	298.238814	0.0700316867	0	0	0	0	0	3
24	93	53.2727271	0.126100902	298.196516	298.21841	298.15	298.238814	0.0700316867	0	0	0	0	0	3
25	95	54.130989	0.131355106	298.19587	298.218053	298.15	298.238814	0.0700316867	0	0	0	0	0	3
26	98	55.4182895	0.13660931	298.195602	298.217531	298.15	298.238814	0.0700316867	0	0	0	0	0	3
27	101	56.6950026	0.141863514	298.195757	298.217041	298.15	298.238814	0.0700316867	0	0	0	0	0	3
28	104	57.9460995	0.147117719	298.196136	298.21659	298.15	298.238814	0.0700316867	0	0	0	0	0	3
29	107	59.1662014	0.152371923	298.196621	298.216178	298.15	298.238814	0.0700316867	0	0	0	0	0	3
30	110	60.355004	0.157626127	298.197169	298.215803	298.15	298.238814	0.0700316867	0	0	0	0	0	3
31	113	61.8847727	0.162880331	298.198026	298.215364	298.15	298.238814	0.0700316867	0	0	0	0	0	3
32	116	63.379911	0.168134536	298.198969	298.214977	298.15	298.238814	0.0700316867	0	0	0	0	0	3
33	119	64.8470579	0.17338874	298.199999	298.214638	298.15	298.238814	0.0700316867	0	0	0	0	0	3
34	122	66.2896594	0.178642944	298.201105	298.214344	298.15	298.238814	0.0700316867	0	0	0	0	0	3
35	124	67.7108526	0.183897148	298.202282	298.214091	298.15	298.238814	0.0700316867	0	0	0	0	0	3
36	128	69.1116691	0.189151353	298.203506	298.213876	298.15	298.238814	0.0700316867	0	0	0	0	0	3
37	131	70.4936093	0.194405557	298.204762	298.213697	298.15	298.238814	0.0700316867	0	0	0	0	0	3
38	133	71.8566672	0.199659761	298.206037	298.213552	298.15	298.238814	0.0700316867	0	0	0	0	0	3
39	136	73.2023027	0.204913965	298.207326	298.213438	298.15	298.238814	0.0700316867	0	0	0	0	0	3
