Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	29	0.0162367046	0.00525420424	298.15008	298.15008	298.15008	298.15008	0	0	0	0	0	0	3
2	31	0.0324781022	0.0105084085	298.150162	298.150121	298.15008	298.150162	4.07624564e-05	0	0	0	0	0	3
3	33	0.0487542881	0.0157626127	298.150244	298.150162	298.15008	298.150244	8.19881424e-05	0	0	0	0	0	3
4	36	0.0652875332	0.021016817	298.150329	298.150204	298.15008	298.150329	0.000124295969	0	0	0	0	0	3
5	38	0.0837201606	0.0262710212	298.150424	298.150253	298.15008	298.150424	0.000172727712	0	0	0	0	0	3
6	40	0.132420249	0.0315252254	298.150675	298.150408	298.15008	298.150675	0.000327913289	0	0	0	0	0	3
7	42	0.336429492	0.0367794297	298.15172	298.151204	298.15008	298.15172	0.00112340353	0	0	0	0	0	3
8	46	1.67553863	0.0420336339	298.158088	298.156706	298.15008	298.158088	0.00662539015	0	0	0	0	0	3
9	50	10.7473596	0.0472878381	298.194135	298.1883	298.15008	298.194135	0.0382199047	0	0	0	0	0	3
10	55	44.8039731	0.0525420424	298.32074	298.288971	298.15008	298.32074	0.138890875	0	0	0	0	0	3
11	58	45.6867102	0.0577962466	298.324513	298.289658	298.15008	298.324513	0.139577601	0	0	0	0	0	3
12	61	46.3795552	0.0630504509	298.327504	298.290223	298.15008	298.327504	0.140142975	0	0	0	0	0	3
13	64	46.8586132	0.0683046551	298.329581	298.290626	298.15008	298.329581	0.140545354	0	0	0	0	0	3
14	66	47.2647115	0.0735588593	298.331346	298.290975	298.15008	298.331346	0.140895227	0	0	0	0	0	3
15	69	47.6243691	0.0788130636	298.332913	298.291292	298.15008	298.332913	0.141211935	0	0	0	0	0	3
16	72	48.1363147	0.0840672678	298.33514	298.291758	298.15008	298.33514	0.141678267	0	0	0	0	0	3
17	74	48.6168349	0.0893214721	298.337231	298.292208	298.15008	298.337231	0.142127713	0	0	0	0	0	3
18	77	49.0827006	0.0945756763	298.339261	298.292654	298.15008	298.339261	0.142574311	0	0	0	0	0	3
19	79	49.5540243	0.0998298805	298.341314	298.293117	298.15008	298.341314	0.143037129	0	0	0	0	0	3
20	82	50.047109	0.105084085	298.343462	298.293613	298.15008	298.343462	0.143533148	0	0	0	0	0	3
21	85	50.8057684	0.110338289	298.346758	298.294407	298.15008	298.346758	0.144326734	0	0	0	0	0	3
22	87	51.5990821	0.115592493	298.3502	298.295265	298.15008	298.3502	0.145184535	0	0	0	0	0	3
23	90	52.4251184	0.120846697	298.353781	298.296187	298.15008	298.353781	0.146106551	0	0	0	0	0	3
24	93	53.2727271	0.126100902	298.357452	298.297161	298.15008	298.357452	0.147081334	0	0	0	0	0	3
25	95	54.130989	0.131355106	298.361167	298.298176	298.15008	298.361167	0.148096154	0	0	0	0	0	3
26	98	55.4182895	0.13660931	298.366717	298.299768	298.15008	298.366717	0.149688282	0	0	0	0	0	3
